Issue key	Issue id	Issue Type	Assignee	Status	Sprint	Requirement	Summary	Acceptance Scenario ID	Acceptance Scenario	Automated?	<eol>
CEN-186	122988	Story	mpatel	Closed	CEN Sprint 7	10.40.70	Application - Application provides access to Veteran's preference information (Section A/Page 3)	10.40.70.90.a	"Scenario: Veteran's Preference Information button
Given I am on the Application
Then I must see this button"		<eol>
								10.40.70.90.b	"Scenario: Veteran's Preference Information popup
Given I am on the Application
And I access this button
Then I will see this Information"		<eol>
								10.40.70.90.c	"Scenario: Veteran's Preference Information link
Given I am on the Application
And I access this button
And this pop up is displayed
And I access this link
Then this new tab will open"		<eol>
CEN-241	123043	Story	jmoore	Closed	CEN Sprint 7	"10.40.75, 10.40.90, 10.40.100, 10.40.110, 10.40.120"	Application - Candidate uploads attachments to application	10.40.75.599.a	"Scenario: Ability to upload forms to application
Given I am on the Application
 When I upload a form to the application
Then the system will save this file to the application
And display the file name"		<eol>
								10.40.75.599.b	"Scenario: Veteran's Preference documentation unattached SF-15 (10 point) warning
Given I am on the Application
And I select 10 point preference for veterans preference
And I want to skip the documentation upload for SF-15
When I press ""Next"" to proceed to the next page
Then I must see alert"		<eol>
								10.40.75.599.c	"Scenario: Veteran's Preference documentation unattached SF-15 (10 point derived) warning
Given I am on the Application
And I select 10 point derived preference for veterans preference
And I want to skip the documentation upload for SF-15
When I press ""Next"" to proceed to the next page
Then I must see alert"		<eol>
								"10.40.75.599.d
"	"Scenario: Veteran's Preference documentation unattached SF-15 supporting documentation (10 point) warning
Given I am on the Application
And I select 10 point preference 
And I want to skip the documentation upload for SF-15 supporting documentation
When I press ""Next"" to proceed to the next page
Then I must see alert"		<eol>
								10.40.75.599.e	"Scenario: Veteran's Preference documentation unattached SF-15 supporting documentation (10 point derived) warning
Given I am on the Application
And I select 10 point derived preference 
And I want to skip the documentation upload for SF-15 supporting documentation
When I press ""Next"" to proceed to the next page
Then I must see alert"		<eol>
								10.40.75.599.f	"Scenario: Veteran's Preference documentation unattached DD-214 (5-point derived) warning
Given I am on the Application
And I select 5 point derived preference for veterans preference
And I want to skip the documentation upload
When I press ""Next"" to proceed to the next page
Then I must see alert"		<eol>
								10.40.75.599.g	"Scenario: Veteran's Preference documentation unattached DD-214 (sole-survivorship) warning
Given I am on the Application
And I select sole survivorship for veterans preference
And I want to skip the documentation upload
When I press ""Next"" to proceed to the next page
Then I must see alert"		<eol>
								10.40.75.599.h	"Scenario: Unregistered w/Selective Service Upload error
Given I am on the application
And I select Yes to having supporting documentation for not being in selective service
And I do not upload documentation
When I press ""Next"" to proceed to the next page
Then I must see error"		<eol>
								10.40.75.599.i	"Scenario: Buyout repayment proof DT-237 Upload Alert
Given I am on the application
And I select I have received this
And I do not upload documentation
When I press ""Next"" to proceed to the next page
Then I must see alert"		<eol>
								10.40.75.599.j	"Scenario: Recent SF-50 Upload Alert
Given I am on the application
And I select Yes I have worked with Census
And I do not upload documentation
When I press ""Next"" to proceed to the next page
Then I must see error"		<eol>
								10.40.75.599.k	"Scenario: ability to delete files prior to e-sign
Given I am on the Application
And I have not e-signed
 When I upload a file to the application
Then the system should show a delete option for that file"		<eol>
								10.40.75.599.l	"Scenario: file is deleted from application
Given I am on the Application
And I have uploaded a file to the application
And I have not e-signed
When I press ""Delete"" for that file
Then the system should delete the file from the application
And show option for upload"		<eol>
								10.40.75.599.m	"Scenario: file cannot be over 5mb
Given I am on the Application
When I upload a file of 5.1mb
Then the system will show error"		<eol>
								10.40.75.599.n	"Scenario: file can be up to 5mb
Given I am on the Application
When I upload a file of 5mb
Then the system will show the file successfully uploaded"		<eol>
								10.40.75.599.o	"Scenario: PNG file uploads allowed
Given I am on the Application
When I upload a PNG file
Then the system will show the file successfully uploaded"		<eol>
								10.40.75.599.p	"Scenario: GIF file uploads allowed
Given I am on the Application
When I upload a GIF file
Then the system will show the file successfully uploaded"		<eol>
								10.40.75.599.q	"Scenario: TIF file uploads allowed
Given I am on the Application
When I upload a TIF file
Then the system will show the file successfully uploaded"		<eol>
								10.40.75.599.r	"Scenario: JPG file uploads allowed
Given I am on the Application
When I upload a JPG file
Then the system will show the file successfully uploaded"		<eol>
								10.40.75.599.s	"Scenario: DOC file uploads allowed
Given I am on the Application
When I upload a DOC file
Then the system will show the file successfully uploaded"		<eol>
								10.40.75.599.t	"Scenario: DOCX file uploads allowed
Given I am on the Application
When I upload a DOCX file
Then the system will show the file successfully uploaded"		<eol>
								10.40.75.599.u	"Scenario: PDF file uploads allowed
Given I am on the Application
When I upload a PDF file
Then the system will show the file successfully uploaded"		<eol>
								10.40.75.599.v	"Scenario: TXT file uploads allowed
Given I am on the Application
When I upload a TXT file
Then the system will show the file successfully uploaded"		<eol>
CEN-1813		Story		Awaiting QA	CEN Sprint 9	10.40.981	Application - State and Country Fields Interdependence	"10.40.981.1813.a
"	"Scenario: Place of birth state field is shown before country on second personal info page
Given I am on the second personal info page of the application
When I verify state and country fields
System displays state field before country field
"		<eol>
								"10.40.981.1813.b
"	"Scenario: country defaults to USA if state is chosen on second personal info page
Given I am on the second personal info page of the application
     And all other fields on this page are satisfied
When I choose a state from the state dropdown
System defaults country field to USA selection
      And system allows user to navigate to the next page"		<eol>
								"10.40.981.1813.c
"	"Scenario: state selection is saved on second personal info page
Given I am on the Military Service page of the application
     And I have saved state with default USA country value on the second personal info page
When I navigate back to the second personal info page
System displays my state selection
       And system displays default USA selection for country
"		<eol>
								"10.40.981.1813.d
"	"Scenario: state is not required if foreign country chosen on second personal info page
Given I am on the second personal info page of the application
       And all other fields on the page are satisfied
When I choose a foreign country from the country dropdown
System defaults state to null value
       And state selection is no longer required
       And state dropdown is disabled
       And user is allowed to save second personal info page"		<eol>
								"10.40.981.1813.e
"	"Scenario: foreign country selection is saved on second personal info page
Given I am on the Military Service page of the application
       And I have saved a foreign country selection with null state value
When I navigate back to the second personal info page
System displays my foreign country selection
       And system displays disabled state field with null value
"		<eol>
								"10.40.981.1813.f
"	"Scenario: most recent employer address state field is shown before country
Given I am on the Employment History Section of the application
When I verify state and country fields
System displays state field before country field
"		<eol>
								"10.40.981.1813.g
"	"Scenario: country defaults to USA if state is chosen on most recent employer Section
Given I am on the most recent employer Section of the application
     And all other fields on this page are satisfied
When I choose a state from the state dropdown
System defaults country field to USA selection
      And system allows user to navigate to the next page
"		<eol>
								"10.40.981.1813.h
"	"Scenario: state selection is saved on most recent employer Section
Given I am on the Language skills/Transportation page of the application
     And I have saved state with default USA country value on the most recent employer Section
When I navigate back to the most recent employer Section
System displays my state selection
       And system displays default USA selection for country
"		<eol>
								"10.40.981.1813.i
"	"Scenario: state is not required if foreign country chosen on most recent employer Section
Given I am on the most recent employer Section of the application
       And all other fields on the page are satisfied
When I choose a foreign country from the country dropdown
System defaults state to null value
       And state selection is no longer required
       And state dropdown is disabled
       And user is allowed to save most recent employer Section
"		<eol>
								"10.40.981.1813.j
"	"Scenario: foreign country selection is saved on most recent employer Section
Given I am on the Language skills/Transportation page of the application
       And I have saved a foreign country selection with null state value
When I navigate back to the most recent employer Section
System displays my foreign country selection
       And system displays disabled state field with null value
"		<eol>
								"10.40.981.1813.k
"	"Scenario: next most recent employer address state field is shown before country
Given I am on the next most recent employer Section of the application
When I verify state and country fields
System displays state field before country field
"		<eol>
								"10.40.981.1813.l
"	"Scenario: country defaults to USA if state is chosen on next most recent employer Section
Given I am on the next most recent employer Section of the application
     And all other fields on this page are satisfied
When I choose a state from the state dropdown
System defaults country field to USA selection
      And system allows user to navigate to the next page
"		<eol>
								"10.40.981.1813.m
"	"Scenario: state selection is saved on next most recent employer Section
Given I am on the Language skills/Transportation page of the application
     And I have saved state with default USA country value on next most recent employer Section
When I navigate back to the next most recent employer Section
System displays my state selection
       And system displays default USA selection for country
"		<eol>
								"10.40.981.1813.n
"	"Scenario: state is not required if foreign country chosen on next most recent employer Section
Given I am on the next most recent employer Section of the application
       And all other fields on the page are satisfied
When I choose a foreign country from the country dropdown
System defaults state to null value
       And state selection is no longer required
       And state dropdown is disabled
       And user is allowed to save next most recent employer Section
"		<eol>
								"10.40.981.1813.o
"	"Scenario: foreign country selection is saved on next most recent employer Section
Given I am on the Language skills/Transportation page of the application
       And I have saved a foreign country selection with null state value
When I navigate back to the next most recent employer Section
System displays my foreign country selection
       And system displays disabled state field with null value
"		<eol>
CEN-1780	140975	Story	jmoore	Awaiting PO Action	CEN Sprint 8	10.40.983	Application - SSN shown when candidate enters number on application	10.40.983.1780.a	"Scenario: Number shown when entered on SSN field
Given I am a candidate on the personal info page of the application
When I enter a number on the SSN field
Then the system will show the SSN"		<eol>
								10.40.983.1780.b	"Scenario: Number shown when entered on confirm SSN field
Given I am a candidate on the personal info page of the application
When I enter a number on the confirm SSN field
Then the system will show the SSN"		<eol>
								10.40.983.1780.c	"Scenario: Number shown when saved on SSN field
Given I am a candidate on the personal info page of the application
AND I have entered a number on the SSN field
AND I am on the second personal info page of the application
When I press ""Previous"" button
Then the system will show the SSN"		<eol>
CEN-1718	138739	Story	jmoore	Closed	CEN Sprint 7	10.40.985	Application - Dropdowns for Country and State	"10.40.985.1718.a
"	"Scenario: Home address State dropdown displays options
Given I am a candidate on the personal info page of the application
When I press the state dropdown for Home address
Then the system will show all options for state"		<eol>
								"10.40.985.1718.b
"	"Scenario: Home Address State dropdown choice displays in field
Given I am a candidate on the personal info page of the application
When I press a state from the Home address state dropdown
Then the system will show my selection in the field"		<eol>
								"10.40.985.1718.c
"	"Scenario: Home Address State dropdown choice is saved
Given I am a candidate on the personal info page of the application
AND I select a state from the Home address state dropdown
AND I have satisfied all required fields on the page
AND I have continued to the next page of the application
When I press previous to go back to the personal info page
Then the system will show my previous selection in the field"		<eol>
								"10.40.985.1718.d
"	"Scenario: Home address Confirm State dropdown displays options
Given I am a candidate on the personal info page of the application
When I press the confirm state dropdown for Home address
Then the system will show all options for state"		<eol>
								"10.40.985.1718.e
"	"Scenario: Home Address confirm State dropdown choice displays in field
Given I am a candidate on the personal info page of the application
When I press a state from the Home address confirm state dropdown
Then the system will show my selection in the field"		<eol>
								"10.40.985.1718.f
"	"Scenario: Home Address Confirm State dropdown choice is saved
Given I am a candidate on the personal info page of the application
AND I select a state from the Home address confirm state dropdown
AND I have satisfied all required fields on the page
AND I have continued to the next page of the application
When I press previous to go back to the personal info page
Then the system will show my previous selection in the field"		<eol>
								10.40.985.1718.g	"Scenario: Mailing Address State dropdown displays options
Given I am a candidate on the personal info page of the application
When I press the state dropdown for Mailing address
Then the system will show all options for state"		<eol>
								10.40.985.1718.h	"Scenario: Mailing Address State dropdown choice displays in field
Given I am a candidate on the personal info page of the application
When I press a state from the Mailing Address state dropdown
Then the system will show my selection in the field"		<eol>
								"10.40.985.1718.i
"	"Scenario: Mailing Address State dropdown choice is saved
Given I am a candidate on the personal info page of the application
AND I select a state from the Mailing Address state dropdown
AND I have satisfied all required fields on the page
AND I have continued to the next page of the application
When I press previous to go back to the personal info page
Then the system will show my previous selection in the field"		<eol>
								"10.40.985.1718.j
"	"Scenario: Mailing Address confirm State dropdown displays options
Given I am a candidate on the personal info page of the application
When I press the confirm state dropdown for Mailing address
Then the system will show all options for state"		<eol>
								"10.40.985.1718.k
"	"Scenario: Mailing Address confirm State dropdown choice displays in field
Given I am a candidate on the personal info page of the application
When I press a state from the Mailing Address confirm state dropdown
Then the system will show my selection in the field"		<eol>
								"10.40.985.1718.l
"	"Scenario: Mailing Address confirm State dropdown choice is saved
Given I am a candidate on the personal info page of the application
AND I select a state from the Mailing Address confirm state dropdown
AND I have satisfied all required fields on the page
AND I have continued to the next page of the application
When I press previous to go back to the personal info page
Then the system will show my previous selection in the field"		<eol>
								"10.40.985.1718.m
"	"Scenario: State of birth dropdown displays options
Given I am a candidate on the personal info page 2 of the application
When I press the state dropdown for Place of birth
Then the system will show all options for state"		<eol>
								"10.40.985.1718.n
"	"Scenario: State of birth dropdown choice displays in field
Given I am a candidate on the personal info page 2 of the application
When I press a state from the State of birth dropdown
Then the system will show my selection in the field"		<eol>
								"10.40.985.1718.o
"	"Scenario: State of birth dropdown choice is saved
Given I am a candidate on the personal info page 2 of the application
AND I select a state from the State of birth dropdown
AND I have satisfied all required fields on the page
AND I have continued to the next page of the application
When I press previous to go back to the personal info page 2
Then the system will show my previous selection in the field"		<eol>
								"10.40.985.1718.p
"	"Scenario: Country of birth dropdown displays options
Given I am a candidate on the personal info page 2 of the application
When I press the Country dropdown for Place of birth
Then the system will show all options for country"		<eol>
								10.40.985.1718.q	"Scenario: Country dropdown choice displays in field
Given I am a candidate on the personal info page 2 of the application
When I press a state from the Country of birth dropdown
Then the system will show my selection in the field"		<eol>
								10.40.985.1718.r	"Scenario: Country of birth dropdown choice is saved
Given I am a candidate on the personal info page 2 of the application
AND I select a state from the Country of birth dropdown
AND I have satisfied all required fields on the page
AND I have continued to the next page of the application
When I press previous to go back to the personal info page 2
Then the system will show my previous selection in the field"		<eol>
								"10.40.985.1718.s
"	"Scenario: most recent employer address state dropdown displays options
Given I am a candidate on the most recent employer page of the application
When I press the State dropdown for most recent employer address
Then the system will show all options for state"		<eol>
								"10.40.985.1718.t
"	"Scenario: most recent employer address state dropdown choice displays in field
Given I am a candidate on the most recent employer page of the application
When I press a state from the most recent employer address state dropdown
Then the system will show my selection in the field"		<eol>
								"10.40.985.1718.u
"	"Scenario: most recent employer address state dropdown choice is saved
Given I am a candidate on the most recent employer page of the application
AND I select a state from the most recent employer address state dropdown
AND I have satisfied all required fields on the page
AND I have continued to the next page of the application
When I press previous to go back to the most recent employer page
Then the system will show my previous selection in the field"		<eol>
								10.40.985.1718.v	"Scenario: next most recent employer address state dropdown displays options
Given I am a candidate on the most recent employer page of the application
When I press the State dropdown for next most recent employer address
Then the system will show all options for state"		<eol>
								10.40.985.1718.w	"Scenario: next most recent employer address state dropdown choice displays in field
Given I am a candidate on the next most recent employer page of the application
When I press a state from the next most recent employer address state dropdown
Then the system will show my selection in the field"		<eol>
								10.40.985.1718.x	"Scenario: next most recent employer address state dropdown choice is saved
Given I am a candidate on the next most recent employer page of the application
AND I select a state from the next most recent employer address state dropdown
AND I have satisfied all required fields on the page
AND I have continued to the next page of the application
When I press previous to go back to the next most recent employer page
Then the system will show my previous selection in the field"		<eol>
								10.40.985.1718.y	"Scenario: country of citizenship dropdown displays options
Given I am a candidate on the second personal information page of the application
When I press the country of citizenship dropdown
Then the system will show all options for country"		<eol>
								"10.40.985.1718.z
"	"Scenario: country of citizenship dropdown choice displays in field
Given I am a candidate on the second personal information page of the application
When I press a country from the country of citizenship dropdown
Then the system will show my selection in the field"		<eol>
								10.40.985.1718.aa	"Scenario: country of citizenship dropdown choice is saved
Given I am a candidate on the second personal information page of the application
AND I select a country from the country of citizenship dropdown
AND I have satisfied all required fields on the page
AND I have continued to the next page of the application
When I press previous to go back to the second personal information page
Then the system will show my previous selection in the field"		<eol>
								10.40.985.1718.bb	"Scenario: relative census employee address state dropdown displays options
Given I am a candidate on the relative working for census section of the application
When I press relative census employee address state dropdown
Then the system will show all options for state"		<eol>
								"10.40.985.1718.cc
"	"Scenario: relative census employee address state dropdown choice displays in field
Given I am a candidate on the relative working for census section of the application
When I press option for relative census employee address state dropdown
Then the system will show my selection in the field"		<eol>
								"10.40.985.1718.dd
"	"Scenario: relative census employee address state dropdown choice is saved
Given I am a candidate on the relative working for census section of the application
AND I select a relative census employee address state from dropdown
AND I have satisfied all required fields on the page
AND I have continued to the next page of the application
When I press previous to go back to the relative working for census section
Then the system will show my previous selection in the field"		<eol>
CEN-277	123080	Story	dsanchez	Awaiting QA	CEN Sprint 8	10.40.990	Application - Language Fluency Warning Message	"10.40.990.277
"	"Scenario: System shows error when candidate/applicant selects language but does not specify fluency
Given I am a candidate/applicant on the language fluency section of the application
And I have specified a language from the dropdown
And I have not specified Speak/Read/Write
When I press Next button
Then the system will show the error above"		<eol>
CEN-1697	131918	Story	jmoore	Awaiting PO Action	CEN Sprint 8	10.40.990	"Application - Warning for not selecting ""Field Data Collection"""	"10.40.990.1697.a
"	"Scenario: Alert when candidate has not selected Field Data Collection
Given I am a candidate on the position interest selection page of the application
And Field Data Collection field is null
And I have selected another position
When I press ""Next""
Then the system will show alert above"		<eol>
								10.40.990.1697.b	"Scenario: Closing alert to select Field Data Collection
Given I am a candidate on the position interest selection page of the application
And Field Data Collection alert is shown
When I press ""CLOSE"" on this alert
Then the system will close alert
And I will remain on this page"		<eol>
								"10.40.990.1697.c
"	"Scenario: OK alert to continue to next page after job preference selection
Given I am a candidate on the position interest selection page of the application
And Field Data Collection alert is shown
When I press ""OK"" on this alert
Then the system will navigate me to the next page of the application"		<eol>
								"10.40.990.1697.d
"	"Scenario: continue with no alert when selecting Field Data Collection
Given I am a candidate on the position interest selection page of the application
And Field Data Collection is chosen
And all other required fields are satisfied
When I press ""Next""
Then the system will navigate me to the next page of the application without alert"		<eol>
CEN-1698	131920	Story	jmoore	Awaiting PO Action	CEN Sprint 8	10.40.990	Application - Available Hours alerts and functionality	"10.40.990.1698
"	"Scenario: Alert when user selects more hours than they are available
Given I am a candidate/applicant on the availability section of the application
And I specify times I am willing to work
And the value for the times I am willing to work exceeds the hours I specify that I am available
When I press Next button
Then the system will show the error above
And I will remain on this page until the error is remedied."		<eol>
CEN-279	123082	Story	msherburne	Backlog	CEN Sprint 8	10.40.991	Application - Required Fields	"10.40.991.279.a
"	"Scenario: Unsatisfied Required fields on Page 1
Given an Applicant on page 1 of the application
And I have omitted any of the required fields
SSN
First Name
Last Name
Residence Address 1
Zip Code
City
State
County
Nearest Cross Street A
Nearest Cross Street B
Email Address
Phone Number
WHEN I press the Next button
then I will see error messages on the screen informing me of the missing fields
and I will remain on the incomplete page until corrections are made
"		<eol>
								"10.40.991.279.b
"	"Scenario: satisfied Required fields on Page 1
Given an Applicant on page 1 of the application
And I have satisfied all of the required fields
SSN
First Name
Last Name
Residence Address 1
Zip Code
City
State
County
Nearest Cross Street A
Nearest Cross Street B
Email Address
Phone Number
WHEN I press the Next button
then the system will navigate me to page 2 of the application
"		<eol>
								"10.40.991.279.c
"	"Scenario: Unsatisfied Required fields on Page 2
Given an Applicant on page 2 of the application
And I have omitted any of the required fields
Sex
Date of Birth
Place of Birth City
Place of Birth State
Place of Birth Country
Selective Service
Provide SS Supporting Docs?
WHEN I press the Next button
then I will see error messages on the screen informing me of the missing fields
and I will remain on the incomplete page until corrections are made
"		<eol>
								"10.40.991.279.d
"	"Scenario: satisfied Required fields on Page 2
Given an Applicant on page 2 of the application
And I have satisfied all of the required fields
Sex
Date of Birth
Place of Birth City
Place of Birth State
Place of Birth Country
Selective Service
Provide SS Supporting Docs?
WHEN I press the Next button
then the system will navigate me to page 3 of the application
"		<eol>
								"10.40.991.279.e
"	"Scenario: Unsatisfied Required fields on Page 3
Given an Applicant on page 3 of the application
And I have omitted any of the required fields
Veteran's Preference
WHEN I press the Next button
then I will see error messages on the screen informing me of the missing fields
and I will remain on the incomplete page until corrections are made"		<eol>
								10.40.991.279.f	"Scenario: satisfied Required fields on Page 3
Given an Applicant on page 3 of the application
And I have satisfied all of the required fields
Veteran's Preference
WHEN I press the Next button
then the system will navigate me to page 4 of the application"		<eol>
								"10.40.991.279.g
"	"Scenario: Unsatisfied Required fields on Page 4
Given an Applicant on page 4 of the application
And I have omitted any of the required fields
Interested in FLD Data Collect? OR Interested in FLD Outreach? OR Interested in Office?
Supervisory Experience?
Interested in Supv Position?
WHEN I press the Next button
then I will see error messages on the screen informing me of the missing fields
and I will remain on the incomplete page until corrections are made"		<eol>
								10.40.991.279.h	"Scenario: satisfied Required fields on Page 4
Given an Applicant on page 4 of the application
And I have satisfied all of the required fields
Interested in FLD Data Collect? OR Interested in FLD Outreach? OR Interested in Office?
Supervisory Experience?
Interested in Supv Position?
WHEN I press the Next button
then the system will navigate me to page 5 of the application"		<eol>
								"10.40.991.279.i
"	"Scenario: Unsatisfied Required fields on Page 5
Given an Applicant on page 5 of the application
And I have omitted any of the required fields
Ever worked for Census?
Most recent title
Most recent date Start
Most recent date End OR Currently Employed
Currently Employed Federal?
Agency
Hire Date
Currently Employed State, Local?
Title
Agency
Currently Elected Official?
Title
Agency
Receive Federal Retirement?
Agency
Provide details box
Received Buyout within 5 yrs?
Buyout Year
Agency
Relatives working for Census?
First Name
Last Name
State
WHEN I press the Next button
then I will see error messages on the screen informing me of the missing fields
and I will remain on the incomplete page until corrections are made
"		<eol>
								"10.40.991.279.j
"	"Scenario: satisfied Required fields on Page 5
Given an Applicant on page 5 of the application
And I have satisfied all of the required fields
Ever worked for Census?
Most recent title
Most recent date Start
Most recent date End OR Currently Employed
Currently Employed Federal?
Agency
Hire Date
Currently Employed State, Local?
Title
Agency
Currently Elected Official?
Title
Agency
Receive Federal Retirement?
Agency
Provide details box
Received Buyout within 5 yrs?
Buyout Year
Agency
Relatives working for Census?
First Name
Last Name
State
 
WHEN I press the Next button
then the system will navigate me to page 6 of the application
 
"		<eol>
								10.40.991.279.k	"Scenario: Unsatisfied Required fields on Page 6
Given an Applicant on page 6 of the application
And I have omitted any of the required fields
Boxes for work hours
Total hours
Have you ever worked?
Contact recent employer?
Employer name
Start Date
End Date OR Currently Employed
Reason for leaving if End Date
Job Duties
Employer Address Country
Employer Address 1
Zip Code
City
State
Employer Phone Number OR Phone Number Unknown
Supervisor First Name
Supervisor Last Name
Title
Average hours worked
Salary
Frequency of pay
Did you supervise employees?
 
WHEN I press the Next button
then I will see error messages on the screen informing me of the missing fields
and I will remain on the incomplete page until corrections are made
Scenario: Unsatisfied Required fields on Page 6
Given an Applicant on page 6 of the application
And I have omitted any of the required fields
Boxes for work hours
Total hours
Have you ever worked?
Contact recent employer?
Employer name
Start Date
End Date OR Currently Employed
Reason for leaving if End Date
Job Duties
Employer Address Country
Employer Address 1
Zip Code
City
State
Employer Phone Number OR Phone Number Unknown
Supervisor First Name
Supervisor Last Name
Title
Average hours worked
Salary
Frequency of pay
Did you supervise employees?
 
WHEN I press the Next button
then I will see error messages on the screen informing me of the missing fields
and I will remain on the incomplete page until corrections are made
"		<eol>
								10.40.991.279.l	"Scenario: satisfied Required fields on Page 6
Given an Applicant on page 6 of the application
And I have satisfied all of the required fields
 
 
Boxes for work hours
Total hours
Have you ever worked?
Contact recent employer?
Employer name
Start Date
End Date OR Currently Employed
Reason for leaving if End Date
Job Duties
Employer Address Country
Employer Address 1
Zip Code
City
State
Employer Phone Number OR Phone Number Unknown
Supervisor First Name
Supervisor Last Name
Title
Average hours worked
Salary
Frequency of pay
Did you supervise employees?
WHEN I press the Next button
then the system will navigate me to page 7 of the application
 
"		<eol>
								"10.40.991.279.m
"	"Scenario: Unsatisfied Required fields on Page 7
Given an Applicant on page 7 of the application
And I have omitted any of the required fields
 
 
Are you fluent in foreign language?
Language
Speak/Read/Write
Type of Vehicle
Type of Vehicle text box
Valid Drivers License
WHEN I press the Next button
then I will see error messages on the screen informing me of the missing fields
and I will remain on the incomplete page until corrections are made
"		<eol>
								"10.40.991.279.n
"	"Scenario: satisfied Required fields on Page 7
Given an Applicant on page 7 of the application
And I have satisfied all of the required fields
  
Are you fluent in foreign language?
Language
Speak/Read/Write
Type of Vehicle
Type of Vehicle text box
Valid Drivers License
  
WHEN I press the Next button
then the system will navigate me to page 8 of the application
 
"		<eol>
CEN-1743	139807	Story	jmoore	Awaiting PO Action	CEN Sprint 8	10.40.991	Application - Employer Phone number or phone number unknown required	10.40.991.1742.a	"Scenario: Candidate may select unknown for previous employer phone number
Given I am on the previous employer section of the application
And I have selected that I have worked before
When I press the ""Unknown"" checkbox for Previous employer phone number
Then the system will show my selection"		<eol>
								10.40.991.1742.b	"Scenario: Solution saves candidates ""Unknown"" previous employer phone number selection
Given I am on the previous employer section of the application
And I have selected that I have worked before
And I have pressed the ""Unknown"" checkbox for Previous employer phone number
And I have satisfied all other required fields on the page
And I have navigated to the next page on the application
When I return to the previous employer section of the application
Then the system will show that it has saved my selection"		<eol>
								"10.40.991.1742.c
"	"Scenario: Previous Employer phone number is required if ""Unknown"" is not selected
Given I am on the previous employer section of the application
And I have selected that I have worked before
And the ""Unknown"" checkbox for Previous employer phone number is left null
And the previous employer phone number is left null
When I press ""Next"" button
Then the system will show that phone number is required
And the Next button will keep me on this page until required fields are satisfied."		<eol>
CEN-269	123072	Story	dsanchez	Awaiting QA	CEN Sprint 8	10.40.994	Application - Spellcheck Candidate input	"10.40.994.269.a
"	"Scenario: Solution identifies misspelled words on application
Given I am on the application
And I enter a misspelled word into a text field
Then the solution will identify the misspelled word"		<eol>
								"10.40.994.269.b
"	"Scenario: Solution ignores correctly spelled words on application
Given I am on the application
And I enter a correclty spelled word into a text field
Then the solution will allow the correctly spelled word without alert"		<eol>
CEN-246	123048	Story	jmoore	Closed	CEN Sprint 8	10.40.995	Application - electronic disclosure statement	"10.40.995.246.a
"	"Scenario: Candidate verifies information and items on this page
Given I am a candidate on the Electronic Disclosure page of the application
When I verify the information and items on this page
Then I will see the information and items shown above"		<eol>
								"10.40.995.246.b
"	"Scenario: Candidate accesses link to EEO Information
Given I am a candidate on the Electronic Disclosure page of the application
When I press the link entitled ""Click here to Learn more""
Then the following page will open in a separate tab:
https://www.census.gov/eeo/policy_statements/"		<eol>
								"10.40.995.246.c
"	"Scenario: Candidate presses acknowledgement radio button
Given I am a candidate on the Electronic Disclosure page of the application
When I press radio button for ""I acknowledge that I have read and understand the statements above""
Then the system will disable the ""Opt Out of Electronic Application"" button"		<eol>
								"10.40.995.246.d
"	"Scenario: Candidate presses opt out radio button
Given I am a candidate on the Electronic Disclosure page of the application
When I press radio button for ""I choose to opt out of the electronic Census Application process and will use the manual process instead""
Then the system will disable the ""Accept and E-Sign"" button"		<eol>
								"10.40.995.246.e
"	"Scenario: Candidate presses Opt Out of Electronic Application
Given I am a candidate on the Electronic Disclosure page of the application
And I have pressed the radio button for ""I choose to opt out of the electronic Census Application process and will use the manual process instead""
When I press the ""Opt Out of Electronic Application"" button
Then the system will navigate me back to the first application page"		<eol>
								"10.40.995.246.f
"	"Scenario: Candidate Accepts and E-signs
Given I am a candidate on the Electronic Disclosure page of the application
And I have pressed the radio button for ""I acknowledge that I have read and understand the statements above""
When I press the ""Accept and E-Sign"" button
Then the system will navigate me to the Instructions page"		<eol>
								"10.40.995.246.g
"	"Scenario: Candidate changes from opting out to e-signing electronic disclosure
Given I am a candidate on the applicant Portal
And I have previously opted out of the electronic disclosure
And I have returned to the electronic disclosure page
When I select radio button for ""I acknowledge that I have read and understand the statements above""
Then the system will uncheck the opt out radio button
AND the system will disable the opt out button
And the system will enable the e-sign button"		<eol>
CEN-237	123039	Story	mpatel	Closed	CEN Sprint 7	10.40.997	Application - Double entered fields	"10.40.997.a
"	"Scenario: SSN confirm field must match SSN field
Given I am on the application
AND confirm SSN entry does not match SSN field entry
Then the system will show an error"		<eol>
								"10.40.997.b
"	"Scenario: Confirm SSN and SSN matches are validated
Given I am on the application
AND confirm SSN entry does match SSN field entry
Then the system will not show error"		<eol>
								"10.40.997.c
"	"Scenario: Residence Address 1 confirm field must match Residence Address 1 field
Given I am on the application
AND confirm Residence Address 1 entry does not match Residence Address 1 field entry
Then the system will show an error"		<eol>
								"10.40.997.d
"	"Scenario: Confirm Residence Address 1 and Residence Address 1 matches are validated
Given I am on the application
AND confirm Residence Address 1 entry does match Residence Address 1 field entry
Then the system will not show error"		<eol>
								"10.40.997.e
"	"Scenario: Residence Address 2 confirm field must match Residence Address 2 field
Given I am on the application
AND confirm Residence Address 2 entry does not match Residence Address 2 field entry
Then the system will show an error"		<eol>
								10.40.997.f	"Scenario: Confirm Residence Address 2 and Residence Address 2 matches are validated
Given I am on the application
AND confirm Residence Address 2 entry does match Residence Address 2 field entry
Then the system will not show error"		<eol>
